"","JoinID","Batch_TagID","RecaptureMonthNum","marine.circ","FMC","SeaAge","M1","M2","DaysatSea","ReleaseDate","RecaptureDate","annulustype","numannuli"
"1120","1986_306477","8601_306477",9,46,1.23257,1,2.90982,NA,489,1986-05-08,1987-09-09,"firstannulus",1
"1121","1986_312379","8601_312379",9,43,1.04938,1,2.5256,NA,482,1986-05-08,1987-09-02,"firstannulus",1
"1122","1986_316061","8601_316061",7,44,1.13102,1,2.35829,NA,446,1986-05-08,1987-07-28,"firstannulus",1
"1123","1986_318578","8601_318578",8,50,1.24021,1,3.088,NA,476,1986-05-08,1987-08-27,"firstannulus",1
"1124","1986_318863","8601_318863",9,49,1.16735,1,2.64502,NA,482,1986-05-08,1987-09-02,"firstannulus",1
"1125","1986_319838","8601_319838",9,45,1.32919,1,2.62697,NA,481,1986-05-08,1987-09-01,"firstannulus",1
"1126","1986_320350","8601_320350",9,50,1.38862,1,2.98063,NA,481,1986-05-08,1987-09-01,"firstannulus",1
"1127","1986_320409","8601_320409",8,41,1.162,1,2.399,NA,451,1986-05-08,1987-08-02,"firstannulus",1
"1128","1986_320848","8601_320848",8,38,1.09233,1,2.22608,NA,467,1986-05-08,1987-08-18,"firstannulus",1
"1129","1986_323031","8601_323031",7,39,1.44569,1,2.97116,NA,409,1986-05-08,1987-06-21,"firstannulus",1
"1130","1986_323322","8601_323322",8,48,1.32699,1,2.95833,NA,477,1986-05-08,1987-08-28,"firstannulus",1
"1131","1986_326885","8602_326885",9,48,1.1283,1,2.7142,NA,482,1986-05-07,1987-09-01,"firstannulus",1
"1132","1986_327952","8602_327952",8,43,1.53802,1,3.22018,NA,477,1986-05-07,1987-08-27,"firstannulus",1
"1133","1986_328947","8602_328947",8,43,0.82686,1,2.24606,NA,480,1986-05-07,1987-08-30,"firstannulus",1
"1134","1986_329307","8602_329307",8,46,1.16525,1,2.75117,NA,479,1986-05-07,1987-08-29,"firstannulus",1
"1135","1986_329438","8602_329438",8,43,1.1173,1,2.31199,NA,481,1986-05-07,1987-08-31,"firstannulus",1
"1136","1986_329626","8602_329626",8,53,0.78786,1,2.69467,NA,476,1986-05-07,1987-08-26,"firstannulus",1
"1137","1986_333109","8602_333109",9,47,1.39748,1,3.0557,NA,488,1986-05-07,1987-09-07,"firstannulus",1
"1138","1986_333482","8602_333482",9,51,1.18502,1,2.91936,NA,482,1986-05-07,1987-09-01,"firstannulus",1
"1139","1986_333545","8602_333545",6,43,1.35336,1,2.79746,NA,402,1986-05-07,1987-06-13,"firstannulus",1
"1140","1986_334980","8602_334980",8,42,1.10521,1,2.47688,NA,477,1986-05-07,1987-08-27,"firstannulus",1
"1141","1986_336445","8602_336445",9,44,1.03726,1,2.6548,NA,483,1986-05-07,1987-09-02,"firstannulus",1
"1142","1986_337549","8602_337549",9,49,1.1098,1,2.81399,NA,496,1986-05-07,1987-09-15,"firstannulus",1
"1143","1986_341915","8602_341915",9,51,1.18409,1,2.65013,NA,511,1986-05-07,1987-09-30,"firstannulus",1
"1144","1986_342842","8602_342842",8,46,1.28587,1,2.95848,NA,468,1986-05-07,1987-08-18,"firstannulus",1
"1145","1986_344027","8602_344027",7,36,1.17735,1,2.53325,NA,430,1986-05-07,1987-07-11,"firstannulus",1
"1146","1986_344110","8602_344110",8,47,1.07797,1,2.8617,NA,480,1986-05-07,1987-08-30,"firstannulus",1
"1147","1986_345258","8602_345258",8,45,1.12789,1,2.75262,NA,475,1986-05-07,1987-08-25,"firstannulus",1
"1148","1986_345955","8602_345955",8,42,1.17709,1,2.36954,NA,478,1986-05-07,1987-08-28,"firstannulus",1
"1149","1986_346811","8602_346811",8,47,1.17269,1,2.75158,NA,480,1986-05-07,1987-08-30,"firstannulus",1
"1150","1986_346992","8602_346992",8,40,0.97686,1,2.15323,NA,475,1986-05-07,1987-08-25,"firstannulus",1
"1151","1986_347419","8602_347419",8,45,1.13834,1,2.33227,NA,474,1986-05-07,1987-08-24,"firstannulus",1
"1152","1986_347538","8602_347538",9,44,1.08882,1,2.60192,NA,495,1986-05-07,1987-09-14,"firstannulus",1
"1153","1986_347578","8602_347578",8,43,1.42899,1,2.77577,NA,480,1986-05-07,1987-08-30,"firstannulus",1
"1154","1986_348827","8602_348827",8,50,1.10239,1,2.81249,NA,456,1986-05-07,1987-08-06,"firstannulus",1
"1155","1986_349627","8602_349627",9,42,1.26676,1,2.7535,NA,488,1986-05-07,1987-09-07,"firstannulus",1
"1156","1986_350246","8603_350246",7,49,1.1336,1,3.0595,NA,424,1986-05-08,1987-07-06,"firstannulus",1
"1157","1986_352578","8603_352578",7,46,1.09774,1,2.71049,NA,436,1986-05-08,1987-07-18,"firstannulus",1
"1158","1986_353271","8603_353271",7,41,1.06342,1,2.69174,NA,428,1986-05-08,1987-07-10,"firstannulus",1
"1159","1986_355348","8603_355348",8,46,1.39929,1,2.91111,NA,480,1986-05-08,1987-08-31,"firstannulus",1
"1160","1986_357390","8603_357390",9,51,0.8511,1,2.5388,NA,489,1986-05-08,1987-09-09,"firstannulus",1
"1161","1986_359080","8603_359080",8,42,1.23523,1,2.15621,NA,480,1986-05-08,1987-08-31,"firstannulus",1
"1162","1986_360296","8603_360296",8,46,1.26886,1,2.85434,NA,479,1986-05-08,1987-08-30,"firstannulus",1
"1163","1986_361976","8603_361976",8,44,0.88973,1,2.41223,NA,475,1986-05-08,1987-08-26,"firstannulus",1
"1164","1986_362041","8603_362041",8,46,1.01776,1,2.64018,NA,479,1986-05-08,1987-08-30,"firstannulus",1
"1165","1986_362125","8603_362125",8,40,1.20153,1,2.46141,NA,474,1986-05-08,1987-08-25,"firstannulus",1
"1166","1986_363490","8603_363490",8,44,1.03919,1,2.66566,NA,479,1986-05-08,1987-08-30,"firstannulus",1
"1167","1986_363986","8603_363986",7,47,1.29808,1,3.28492,NA,419,1986-05-08,1987-07-01,"firstannulus",1
"1168","1986_364586","8603_364586",8,43,1.18656,1,2.2813,NA,476,1986-05-08,1987-08-27,"firstannulus",1
"1169","1986_365808","8603_365808",7,41,1.2036,1,2.4047,NA,431,1986-05-08,1987-07-13,"firstannulus",1
"1170","1986_365824","8603_365824",8,46,1.21126,1,2.63701,NA,477,1986-05-08,1987-08-28,"firstannulus",1
"1171","1986_365980","8603_365980",7,48,0.83394,1,2.76772,NA,424,1986-05-08,1987-07-06,"firstannulus",1
"1172","1986_366022","8603_366022",9,54,1.00057,1,3.04401,NA,482,1986-05-08,1987-09-02,"firstannulus",1
"1173","1986_367962","8603_367962",7,45,1.48162,1,3.43493,NA,422,1986-05-08,1987-07-04,"firstannulus",1
"1174","1986_370620","8603_370620",7,46,1.37815,1,3.16975,NA,427,1986-05-08,1987-07-09,"firstannulus",1
"1175","1986_371105","8603_371105",8,45,1.16253,1,2.75285,NA,474,1986-05-08,1987-08-25,"firstannulus",1
"1176","1986_371114","8603_371114",9,44,1.23265,1,2.78916,NA,486,1986-05-08,1987-09-06,"firstannulus",1
"1177","1986_371689","8603_371689",8,44,1.23265,1,2.78916,NA,476,1986-05-08,1987-08-27,"firstannulus",1
"1178","1986_372418","8603_372418",9,46,1.1364,1,2.63548,NA,481,1986-05-08,1987-09-01,"firstannulus",1
"1179","1986_373288","8603_373288",6,38,1.41706,1,2.75674,NA,400,1986-05-08,1987-06-12,"firstannulus",1
"1180","1986_375954","8604_375954",9,47,1.36099,1,2.85251,NA,483,1986-05-09,1987-09-04,"firstannulus",1
"1181","1986_376170","8604_376170",7,49,1.12155,1,3.11085,NA,423,1986-05-09,1987-07-06,"firstannulus",1
"1182","1986_376720","8604_376720",9,46,1.53772,1,2.807,NA,481,1986-05-09,1987-09-02,"firstannulus",1
"1183","1986_378291","8604_378291",8,45,1.52984,1,2.77692,NA,478,1986-05-09,1987-08-30,"firstannulus",1
"1184","1986_379632","8604_379632",8,49,1.09761,1,2.39937,NA,475,1986-05-09,1987-08-27,"firstannulus",1
"1185","1986_379719","8604_379719",8,50,1.21819,1,2.8588,NA,474,1986-05-09,1987-08-26,"firstannulus",1
"1186","1986_379853","8604_379853",10,41,1.28354,1,2.64202,NA,521,1986-05-09,1987-10-12,"firstannulus",1
"1187","1986_380920","8604_380920",7,39,1.53288,1,2.83311,NA,388,1986-05-09,1987-06-01,"firstannulus",1
"1188","1986_381708","8604_381708",9,41,1.01796,1,2.36315,NA,481,1986-05-09,1987-09-02,"firstannulus",1
"1189","1986_382939","8604_382939",9,47,1.11655,1,2.46512,NA,483,1986-05-09,1987-09-04,"firstannulus",1
"1190","1986_383311","8604_383311",8,58,1.1598,1,3.2153,NA,488,1986-05-09,1987-09-09,"firstannulus",1
"1191","1986_383531","8604_383531",7,47,0.78026,1,2.67152,NA,420,1986-05-09,1987-07-03,"firstannulus",1
"1192","1986_383912","8604_383912",7,38,1.07298,1,2.56264,NA,424,1986-05-09,1987-07-07,"firstannulus",1
"1193","1986_385026","8604_385026",8,59,0.85334,1,3.25138,NA,473,1986-05-09,1987-08-25,"firstannulus",1
"1194","1986_386875","8604_386875",9,56,1.24959,1,3.22428,NA,487,1986-05-09,1987-09-08,"firstannulus",1
"1195","1986_388802","8604_388802",9,42,1.3317,1,2.9999,NA,486,1986-05-09,1987-09-07,"firstannulus",1
"1196","1986_392372","8604_392372",8,41,1.3855,1,2.88702,NA,472,1986-05-09,1987-08-24,"firstannulus",1
"1197","1986_393478","8604_393478",8,49,0.97393,1,2.89878,NA,478,1986-05-09,1987-08-30,"firstannulus",1
"1198","1986_393749","8604_393749",9,46,1.60477,1,3.19311,NA,480,1986-05-09,1987-09-01,"firstannulus",1
"1199","1986_394392","8604_394392",9,50,1.08044,1,2.89577,NA,481,1986-05-09,1987-09-02,"firstannulus",1
"1200","1986_394575","8604_394575",8,45,0.97425,1,2.34498,NA,475,1986-05-09,1987-08-27,"firstannulus",1
"1201","1986_395404","8604_395404",8,50,1.12665,1,2.96122,NA,478,1986-05-09,1987-08-30,"firstannulus",1
"1202","1986_395914","8604_395914",9,60,0.73982,1,2.90126,NA,490,1986-05-09,1987-09-11,"firstannulus",1
"1203","1986_396257","8604_396257",7,40,0.95027,1,2.46119,NA,418,1986-05-09,1987-07-01,"firstannulus",1
"1204","1986_396669","8604_396669",6,37,1.2492,1,2.4838,NA,416,1986-05-09,1987-06-29,"firstannulus",1
"1205","1986_397192","8604_397192",9,50,0.957,1,2.96524,NA,508,1986-05-09,1987-09-29,"firstannulus",1
"1206","1986_397479","8604_397479",9,43,1.28572,1,2.70194,NA,480,1986-05-09,1987-09-01,"firstannulus",1
"1207","1986_398135","8604_398135",7,39,0.9646,1,2.11052,NA,437,1986-05-09,1987-07-20,"firstannulus",1
"1208","1986_398598","8604_398598",9,51,1.6464,1,3.1257,NA,507,1986-05-09,1987-09-28,"firstannulus",1
"1209","1986_399323","8604_399323",9,46,1.1571,1,2.3481,NA,481,1986-05-09,1987-09-02,"firstannulus",1
"1210","1987_451425","8701_451425",NA,53,0.8059,1,2.1491,NA,579,1987-05-07,1988-12-06,"firstannulus",1
"1211","1987_452330","8701_452330",9,47,1.05668,1,2.53651,NA,485,1987-05-07,1988-09-03,"firstannulus",1
"1212","1987_452383","8701_452383",9,40,1.31236,1,2.56496,NA,498,1987-05-07,1988-09-16,"firstannulus",1
"1213","1987_452951","8701_452951",8,36,1.22852,1,2.32887,NA,471,1987-05-07,1988-08-20,"firstannulus",1
"1214","1987_457860","8701_457860",9,52,0.92816,1,2.6146,NA,512,1987-05-07,1988-09-30,"firstannulus",1
"1215","1987_462609","8701_462609",10,46,1.20027,1,2.54229,NA,519,1987-05-07,1988-10-07,"firstannulus",1
"1216","1987_466029","8701_466029",8,68,0.8737,1,3.3932,NA,477,1987-05-07,1988-08-26,"firstannulus",1
"1217","1987_470483","8701_470483",8,45,0.79516,1,2.39553,NA,476,1987-05-07,1988-08-25,"firstannulus",1
"1218","1987_471995","8701_471995",8,46,1.04654,1,2.65874,NA,482,1987-05-07,1988-08-31,"firstannulus",1
"1219","1987_473307","8701_473307",9,40,1.0784,1,2.24867,NA,483,1987-05-07,1988-09-01,"firstannulus",1
"1220","1987_473937","8701_473937",10,47,1.20116,1,2.74793,NA,516,1987-05-07,1988-10-04,"firstannulus",1
"1221","1987_477177","8702_477177",8,48,0.99324,1,2.4843,NA,479,1987-05-08,1988-08-29,"firstannulus",1
"1222","1987_479290","8702_479290",9,49,0.94288,1,2.25083,NA,493,1987-05-08,1988-09-12,"firstannulus",1
"1223","1987_480556","8702_480556",9,45,1.24975,1,2.38349,NA,482,1987-05-08,1988-09-01,"firstannulus",1
"1224","1987_482159","8702_482159",9,46,1.315,1,2.84717,NA,490,1987-05-08,1988-09-09,"firstannulus",1
"1225","1987_490542","8702_490542",9,48,1.45512,1,3.21238,NA,490,1987-05-08,1988-09-09,"firstannulus",1
"1226","1987_493935","8702_493935",8,50,0.93508,1,2.38238,NA,475,1987-05-08,1988-08-25,"firstannulus",1
"1227","1987_494066","8702_494066",9,52,0.92328,1,2.49673,NA,483,1987-05-08,1988-09-02,"firstannulus",1
"1228","1987_494120","8702_494120",8,47,0.87277,1,2.77063,NA,469,1987-05-08,1988-08-19,"firstannulus",1
"1229","1987_496729","8702_496729",8,41,0.857,1,2.0069,NA,480,1987-05-08,1988-08-30,"firstannulus",1
"1230","1987_499162","8702_499162",9,42,0.68423,1,1.96808,NA,490,1987-05-08,1988-09-09,"firstannulus",1
"1231","1987_499932","8702_499932",8,42,1.19256,1,2.55232,NA,480,1987-05-08,1988-08-30,"firstannulus",1
"1232","1987_501657","8703_501657",9,41,1.14336,1,2.3278,NA,502,1987-05-06,1988-09-19,"firstannulus",1
"1233","1987_505002","8703_505002",7,36,1.13147,1,2.27307,NA,430,1987-05-06,1988-07-09,"firstannulus",1
"1234","1987_505438","8703_505438",8,42,1.18444,1,2.56951,NA,466,1987-05-06,1988-08-14,"firstannulus",1
